                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0988,                 3.3303,                0.98462,                0.63209,                0.76775,                0.76234,                0.63819,                0.64392,                 1.1268,                0.86241,             5.9608e-05,             5.9608e-05,             5.9608e-05
                      2,                0.68879,                 1.1752,                0.86465,                0.93643,                0.94149,                0.98267,                0.88217,                0.46552,                0.53978,                0.82169,              0.0001177,              0.0001177,              0.0001177
                      3,                 0.5834,                0.75526,                0.84156,                0.98217,                 0.9834,                0.99419,                0.91132,                0.41053,                0.40169,                0.80824,             0.00017422,             0.00017422,             0.00017422
                      4,                0.52477,                0.60318,                0.83021,                0.99554,                0.99682,                0.99499,                0.93277,                0.36047,                0.33124,                0.79841,             0.00017191,             0.00017191,             0.00017191
                      5,                0.47639,                0.51324,                0.81855,                0.99533,                0.99577,                0.99493,                0.94043,                0.34217,                0.30662,                0.79224,             0.00016955,             0.00016955,             0.00016955
                      6,                0.45154,                0.46575,                0.81346,                 0.9958,                0.99816,                0.99499,                0.94744,                0.31939,                0.28043,                0.78849,             0.00016719,             0.00016719,             0.00016719
                      7,                 0.4279,                0.42809,                0.80835,                0.99764,                0.99927,                0.99499,                0.94948,                0.31656,                0.26388,                0.78695,             0.00016482,             0.00016482,             0.00016482
                      8,                0.41591,                 0.4146,                0.80715,                0.99663,                0.99912,                  0.995,                0.95663,                0.29946,                0.24916,                0.78381,             0.00016246,             0.00016246,             0.00016246
                      9,                0.40025,                0.38904,                0.80362,                 0.9975,                0.99934,                  0.995,                0.96122,                0.29192,                0.24616,                0.78269,              0.0001601,              0.0001601,              0.0001601
                     10,                0.39014,                0.37814,                0.80288,                0.99895,                0.99958,                  0.995,                0.96463,                0.28124,                0.22923,                0.78037,             0.00015773,             0.00015773,             0.00015773
                     11,                 0.3832,                0.36229,                0.80057,                0.99851,                0.99912,                  0.995,                0.96376,                 0.2843,                0.22657,                0.78164,             0.00015537,             0.00015537,             0.00015537
                     12,                0.37276,                0.35269,                0.79844,                0.99855,                0.99968,                0.99498,                0.96608,                  0.275,                0.21875,                0.77952,             0.00015301,             0.00015301,             0.00015301
                     13,                0.36829,                0.34342,                0.79842,                0.99879,                0.99967,                  0.995,                0.96865,                 0.2724,                0.21369,                0.77889,             0.00015065,             0.00015065,             0.00015065
                     14,                0.36348,                0.33767,                0.79705,                0.99892,                0.99938,                  0.995,                0.97041,                 0.2663,                0.20731,                0.77777,             0.00014828,             0.00014828,             0.00014828
                     15,                0.35687,                0.32877,                0.79615,                0.99898,                0.99975,                  0.995,                0.96802,                0.27397,                0.20628,                0.77871,             0.00014592,             0.00014592,             0.00014592
                     16,                0.35043,                0.32063,                0.79412,                0.99914,                0.99981,                  0.995,                  0.973,                0.25774,                0.19758,                0.77628,             0.00014356,             0.00014356,             0.00014356
                     17,                0.34743,                0.31262,                0.79381,                0.99895,                0.99973,                  0.995,                0.97193,                0.26078,                0.19536,                0.77694,              0.0001412,              0.0001412,              0.0001412
                     18,                0.34406,                0.31237,                0.79526,                0.99925,                0.99986,                  0.995,                0.97537,                0.25306,                0.18905,                0.77563,             0.00013883,             0.00013883,             0.00013883
                     19,                0.34026,                0.30463,                0.79217,                0.99919,                0.99977,                  0.995,                0.97277,                0.25949,                0.18947,                0.77692,             0.00013647,             0.00013647,             0.00013647
