epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,857.989,2.34367,3.33542,2.08264,0.9262,0.93897,0.98351,0.83657,1.25431,0.86449,1.72445,0.0700073,0.00333253,0.00333253
2,1607.09,2.02676,2.04968,1.96985,0.97481,0.97446,0.99361,0.85599,1.17008,0.65177,1.70579,0.0399853,0.00664386,0.00664386
3,2342.64,1.91117,1.80968,1.92651,0.98369,0.98762,0.99417,0.87623,1.06297,0.55503,1.67144,0.00994127,0.0099332,0.0099332
4,3081.77,1.83708,1.66718,1.90403,0.98313,0.98778,0.99403,0.87233,1.08425,0.52747,1.67024,0.009901,0.009901,0.009901
5,3817.79,1.80009,1.59129,1.89282,0.98808,0.98949,0.99454,0.88247,1.04802,0.49799,1.66198,0.009868,0.009868,0.009868
6,4550.11,1.76701,1.53021,1.88199,0.99167,0.99153,0.99473,0.88846,0.99924,0.47189,1.64547,0.009835,0.009835,0.009835
7,5284.35,1.7441,1.49301,1.87366,0.99183,0.99414,0.99489,0.89433,0.97832,0.4511,1.64066,0.009802,0.009802,0.009802
8,6025.46,1.72372,1.45567,1.86338,0.99579,0.99546,0.99493,0.89832,0.95864,0.43343,1.63756,0.009769,0.009769,0.009769
9,6759.9,1.70951,1.42747,1.85883,0.99631,0.99688,0.99495,0.90386,0.92783,0.41819,1.62882,0.009736,0.009736,0.009736
10,7492.15,1.69443,1.40516,1.85609,0.99366,0.99621,0.99485,0.90711,0.90018,0.4107,1.61957,0.009703,0.009703,0.009703
11,8225.35,1.68252,1.39983,1.85113,0.9966,0.99711,0.99496,0.90979,0.89644,0.40293,1.61965,0.00967,0.00967,0.00967
12,8961.13,1.68285,1.37996,1.85129,0.99722,0.99802,0.995,0.91036,0.89062,0.39478,1.61774,0.009637,0.009637,0.009637
13,9690.22,1.66958,1.3625,1.84731,0.99733,0.99764,0.99497,0.91222,0.87416,0.38978,1.6154,0.009604,0.009604,0.009604
14,10421.3,1.65286,1.33357,1.84102,0.99738,0.99787,0.99499,0.91655,0.86272,0.38176,1.61048,0.009571,0.009571,0.009571
